Nome: DOM PEDRITO
Codigo Estacao: 83956
Latitude: -30.98
Longitude: -54.67
Altitude: 140
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1982-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1967-02-09;null;null;null;null;null;null;null;null;
1967-02-10;null;null;null;null;null;null;null;null;
1967-02-11;null;null;null;null;null;null;null;null;
1967-02-12;null;null;null;null;null;null;null;null;
1967-02-13;null;null;null;null;null;null;null;null;
1967-02-14;null;null;null;null;null;null;null;null;
1967-02-15;null;null;null;null;null;null;null;null;
1967-02-16;null;null;null;null;null;null;null;null;
1967-02-17;null;null;null;null;null;null;null;null;
1967-02-18;null;null;null;null;null;null;null;null;
1967-02-19;null;null;null;null;null;null;null;null;
1967-02-20;null;null;null;null;null;null;null;null;
1967-02-21;null;null;null;null;null;null;null;null;
1967-02-22;null;null;null;null;null;null;null;null;
1967-02-23;null;null;null;null;null;null;null;null;
1967-02-24;null;null;null;null;null;null;null;null;
1967-02-25;null;null;null;null;null;null;null;null;
1967-02-26;null;null;null;null;null;null;null;null;
1967-02-27;null;null;null;null;null;null;null;null;
1967-02-28;null;null;null;null;null;null;null;null;
1967-03-01;null;null;null;null;null;null;null;null;
1967-03-02;null;null;null;null;null;null;null;null;
1967-03-03;null;null;null;null;null;null;null;null;
1967-03-04;null;null;null;null;null;null;null;null;
1967-03-05;null;null;null;null;null;null;null;null;
1967-03-06;null;null;null;null;null;null;null;null;
1967-03-07;null;null;null;null;null;null;null;null;
1967-03-08;null;null;null;null;null;null;null;null;
1967-03-09;null;null;null;null;null;null;null;null;
1967-03-10;null;null;null;null;null;null;null;null;
1967-03-11;null;null;null;null;null;null;null;null;
1967-03-12;null;null;null;null;null;null;null;null;
1967-03-13;null;null;null;null;null;null;null;null;
1967-03-14;null;null;null;null;null;null;null;null;
1967-03-15;null;null;null;null;null;null;null;null;
1967-03-16;null;null;null;null;null;null;null;null;
1967-03-17;null;null;null;null;null;null;null;null;
1967-03-18;null;null;null;null;null;null;null;null;
1967-03-19;null;null;null;null;null;null;null;null;
1967-03-20;null;null;null;null;null;null;null;null;
1967-03-21;null;null;null;null;null;null;null;null;
1967-03-22;null;null;null;null;null;null;null;null;
1967-03-23;null;null;null;null;null;null;null;null;
1967-03-24;null;null;null;null;null;null;null;null;
1967-03-25;null;null;null;null;null;null;null;null;
1967-03-26;null;null;null;null;null;null;null;null;
1967-03-27;null;null;null;null;null;null;null;null;
1967-03-28;null;null;null;null;null;null;null;null;
1967-03-29;null;null;null;null;null;null;null;null;
1967-03-30;null;null;null;null;null;null;null;null;
1967-03-31;null;null;null;null;null;null;null;null;
1967-04-01;null;null;null;null;null;null;null;null;
1967-04-02;null;null;null;null;null;null;null;null;
1967-04-03;null;null;null;null;null;null;null;null;
1967-04-04;null;null;null;null;null;null;null;null;
1967-04-05;null;null;null;null;null;null;null;null;
1967-04-06;null;null;null;null;null;null;null;null;
1967-04-07;null;null;null;null;null;null;null;null;
1967-04-08;null;null;null;null;null;null;null;null;
1967-04-09;null;null;null;null;null;null;null;null;
1967-04-10;null;null;null;null;null;null;null;null;
1967-04-11;null;null;null;null;null;null;null;null;
1967-04-12;null;null;null;null;null;null;null;null;
1967-04-13;null;null;null;null;null;null;null;null;
1967-04-14;null;null;null;null;null;null;null;null;
1967-04-15;null;null;null;null;null;null;null;null;
1967-04-16;null;null;null;null;null;null;null;null;
1967-04-17;null;null;null;null;null;null;null;null;
1967-04-18;null;null;null;null;null;null;null;null;
1967-04-19;null;null;null;null;null;null;null;null;
1967-04-20;null;null;null;null;null;null;null;null;
1967-04-21;null;null;null;null;null;null;null;null;
1967-04-22;null;null;null;null;null;null;null;null;
1967-04-23;null;null;null;null;null;null;null;null;
1967-04-24;null;null;null;null;null;null;null;null;
1967-04-25;null;null;null;null;null;null;null;null;
1967-04-26;null;null;null;null;null;null;null;null;
1967-04-27;null;null;null;null;null;null;null;null;
1967-04-28;null;null;null;null;null;null;null;null;
1967-04-29;null;null;null;null;null;null;null;null;
1967-04-30;null;null;null;null;null;null;null;null;
1967-05-01;null;null;null;null;null;null;null;null;
1967-05-02;null;null;null;null;null;null;null;null;
1967-05-03;null;null;null;null;null;null;null;null;
1967-05-04;null;null;null;null;null;null;null;null;
1967-05-05;null;null;null;null;null;null;null;null;
1967-05-06;null;null;null;null;null;null;null;null;
1967-05-07;null;null;null;null;null;null;null;null;
1967-05-08;null;null;null;null;null;null;null;null;
1967-05-09;null;null;null;null;null;null;null;null;
1967-05-10;null;null;null;null;null;null;null;null;
1967-05-11;null;null;null;null;null;null;null;null;
1967-05-12;null;null;null;null;null;null;null;null;
1967-05-13;null;null;null;null;null;null;null;null;
1967-05-14;null;null;null;null;null;null;null;null;
1967-05-15;null;null;null;null;null;null;null;null;
1967-05-16;null;null;null;null;null;null;null;null;
1967-05-17;null;null;null;null;null;null;null;null;
1967-05-18;null;null;null;null;null;null;null;null;
1967-05-19;null;null;null;null;null;null;null;null;
1967-05-20;null;null;null;null;null;null;null;null;
1967-05-21;null;null;null;null;null;null;null;null;
1967-05-22;null;null;null;null;null;null;null;null;
1967-05-23;null;null;null;null;null;null;null;null;
1967-05-24;null;null;null;null;null;null;null;null;
1967-05-25;null;null;null;null;null;null;null;null;
1967-05-26;null;null;null;null;null;null;null;null;
1967-05-27;null;null;null;null;null;null;null;null;
1967-05-28;null;null;null;null;null;null;null;null;
1967-05-29;null;null;null;null;null;null;null;null;
1967-05-30;null;null;null;null;null;null;null;null;
1967-05-31;null;null;null;null;null;null;null;null;
1967-06-01;null;null;null;null;null;null;null;null;
1967-06-02;null;null;null;null;null;null;null;null;
1967-06-03;null;null;null;null;null;null;null;null;
1967-06-04;null;null;null;null;null;null;null;null;
1967-06-05;null;null;null;null;null;null;null;null;
1967-06-06;null;null;null;null;null;null;null;null;
1967-06-07;null;null;null;null;null;null;null;null;
1967-06-08;null;null;null;null;null;null;null;null;
1967-06-09;null;null;null;null;null;null;null;null;
1967-06-10;null;null;null;null;null;null;null;null;
1967-06-11;null;null;null;null;null;null;null;null;
1967-06-12;null;null;null;null;null;null;null;null;
1967-06-13;null;null;null;null;null;null;null;null;
1967-06-14;null;null;null;null;null;null;null;null;
1967-06-15;null;null;null;null;null;null;null;null;
1967-06-16;null;null;null;null;null;null;null;null;
1967-06-17;null;null;null;null;null;null;null;null;
1967-06-18;null;null;null;null;null;null;null;null;
1967-06-19;null;null;null;null;null;null;null;null;
1967-06-20;null;null;null;null;null;null;null;null;
1967-06-21;null;null;null;null;null;null;null;null;
1967-06-22;null;null;null;null;null;null;null;null;
1967-06-23;null;null;null;null;null;null;null;null;
1967-06-24;null;null;null;null;null;null;null;null;
1967-06-25;null;null;null;null;null;null;null;null;
1967-06-26;null;null;null;null;null;null;null;null;
1967-06-27;null;null;null;null;null;null;null;null;
1967-06-28;null;null;null;null;null;null;null;null;
1967-06-29;null;null;null;null;null;null;null;null;
1967-06-30;null;null;null;null;null;null;null;null;
1967-07-01;null;null;null;null;null;null;null;null;
1967-07-02;null;null;null;null;null;null;null;null;
1967-07-03;null;null;null;null;null;null;null;null;
1967-07-04;null;null;null;null;null;null;null;null;
1967-07-05;null;null;null;null;null;null;null;null;
1967-07-06;null;null;null;null;null;null;null;null;
1967-07-07;null;null;null;null;null;null;null;null;
1967-07-08;null;null;null;null;null;null;null;null;
1967-07-09;null;null;null;null;null;null;null;null;
1967-07-10;null;null;null;null;null;null;null;null;
1967-07-11;null;null;null;null;null;null;null;null;
1967-07-12;null;null;null;null;null;null;null;null;
1967-07-13;null;null;null;null;null;null;null;null;
1967-07-14;null;null;null;null;null;null;null;null;
1967-07-15;null;null;null;null;null;null;null;null;
1967-07-16;null;null;null;null;null;null;null;null;
1967-07-17;null;null;null;null;null;null;null;null;
1967-07-18;null;null;null;null;null;null;null;null;
1967-07-19;null;null;null;null;null;null;null;null;
1967-07-20;null;null;null;null;null;null;null;null;
1967-07-21;null;null;null;null;null;null;null;null;
1967-07-22;null;null;null;null;null;null;null;null;
1967-07-23;null;null;null;null;null;null;null;null;
1967-07-24;null;null;null;null;null;null;null;null;
1967-07-25;null;null;null;null;null;null;null;null;
1967-07-26;null;null;null;null;null;null;null;null;
1967-07-27;null;null;null;null;null;null;null;null;
1967-07-28;null;null;null;null;null;null;null;null;
1967-07-29;null;null;null;null;null;null;null;null;
1967-07-30;null;null;null;null;null;null;null;null;
1967-07-31;null;null;null;null;null;null;null;null;
1967-08-01;null;null;null;null;null;null;null;null;
1967-08-02;null;null;null;null;null;null;null;null;
1967-08-03;null;null;null;null;null;null;null;null;
1967-08-04;null;null;null;null;null;null;null;null;
1967-08-05;null;null;null;null;null;null;null;null;
1967-08-06;null;null;null;null;null;null;null;null;
1967-08-07;null;null;null;null;null;null;null;null;
1967-08-08;null;null;null;null;null;null;null;null;
1967-08-09;null;null;null;null;null;null;null;null;
1967-08-10;null;null;null;null;null;null;null;null;
1967-08-11;null;null;null;null;null;null;null;null;
1967-08-12;null;null;null;null;null;null;null;null;
1967-08-13;null;null;null;null;null;null;null;null;
1967-08-14;null;null;null;null;null;null;null;null;
1967-08-15;null;null;null;null;null;null;null;null;
1967-08-16;null;null;null;null;null;null;null;null;
1967-08-17;null;null;null;null;null;null;null;null;
1967-08-18;null;null;null;null;null;null;null;null;
1967-08-19;null;null;null;null;null;null;null;null;
1967-08-20;null;null;null;null;null;null;null;null;
1967-08-21;null;null;null;null;null;null;null;null;
1967-08-22;null;null;null;null;null;null;null;null;
1967-08-23;null;null;null;null;null;null;null;null;
1967-08-24;null;null;null;null;null;null;null;null;
1967-08-25;null;null;null;null;null;null;null;null;
1967-08-26;null;null;null;null;null;null;null;null;
1967-08-27;null;null;null;null;null;null;null;null;
1967-08-28;null;null;null;null;null;null;null;null;
1967-08-29;null;null;null;null;null;null;null;null;
1967-08-30;null;null;null;null;null;null;null;null;
1967-08-31;null;null;null;null;null;null;null;null;
1967-09-01;null;null;null;null;null;null;null;null;
1967-09-02;null;null;null;null;null;null;null;null;
1967-09-03;null;null;null;null;null;null;null;null;
1967-09-04;null;null;null;null;null;null;null;null;
1967-09-05;null;null;null;null;null;null;null;null;
1967-09-06;null;null;null;null;null;null;null;null;
1967-09-07;null;null;null;null;null;null;null;null;
1967-09-08;null;null;null;null;null;null;null;null;
1967-09-09;null;null;null;null;null;null;null;null;
1967-09-10;null;null;null;null;null;null;null;null;
1967-09-11;null;null;null;null;null;null;null;null;
1967-09-12;null;null;null;null;null;null;null;null;
1967-09-13;null;null;null;null;null;null;null;null;
1967-09-14;null;null;null;null;null;null;null;null;
1967-09-15;null;null;null;null;null;null;null;null;
1967-09-16;null;null;null;null;null;null;null;null;
1967-09-17;null;null;null;null;null;null;null;null;
1967-09-18;null;null;null;null;null;null;null;null;
1967-09-19;null;null;null;null;null;null;null;null;
1967-09-20;null;null;null;null;null;null;null;null;
1967-09-21;null;null;null;null;null;null;null;null;
1967-09-22;null;null;null;null;null;null;null;null;
1967-09-23;null;null;null;null;null;null;null;null;
1967-09-24;null;null;null;null;null;null;null;null;
1967-09-25;null;null;null;null;null;null;null;null;
1967-09-26;null;null;null;null;null;null;null;null;
1967-09-27;null;null;null;null;null;null;null;null;
1967-09-28;null;null;null;null;null;null;null;null;
1967-09-29;null;null;null;null;null;null;null;null;
1967-09-30;null;null;null;null;null;null;null;null;
1967-10-01;null;null;null;null;null;null;null;null;
1967-10-02;null;null;null;null;null;null;null;null;
1967-10-03;null;null;null;null;null;null;null;null;
1967-10-04;null;null;null;null;null;null;null;null;
1967-10-05;null;null;null;null;null;null;null;null;
1967-10-06;null;null;null;null;null;null;null;null;
1967-10-07;null;null;null;null;null;null;null;null;
1967-10-08;null;null;null;null;null;null;null;null;
1967-10-09;null;null;null;null;null;null;null;null;
1967-10-10;null;null;null;null;null;null;null;null;
1967-10-11;null;null;null;null;null;null;null;null;
1967-10-12;null;null;null;null;null;null;null;null;
1967-10-13;null;null;null;null;null;null;null;null;
1967-10-14;null;null;null;null;null;null;null;null;
1967-10-15;null;null;null;null;null;null;null;null;
1967-10-16;null;null;null;null;null;null;null;null;
1967-10-17;null;null;null;null;null;null;null;null;
1967-10-18;null;null;null;null;null;null;null;null;
1967-10-19;null;null;null;null;null;null;null;null;
1967-10-20;null;null;null;null;null;null;null;null;
1967-10-21;null;null;null;null;null;null;null;null;
1967-10-22;null;null;null;null;null;null;null;null;
1967-10-23;null;null;null;null;null;null;null;null;
1967-10-24;null;null;null;null;null;null;null;null;
1967-10-25;null;null;null;null;null;null;null;null;
1967-10-26;null;null;null;null;null;null;null;null;
1967-10-27;null;null;null;null;null;null;null;null;
1967-10-28;null;null;null;null;null;null;null;null;
1967-10-29;null;null;null;null;null;null;null;null;
1967-10-30;null;null;null;null;null;null;null;null;
1967-10-31;null;null;null;null;null;null;null;null;
1967-11-01;null;null;null;null;null;null;null;null;
1967-11-02;null;null;null;null;null;null;null;null;
1967-11-03;null;null;null;null;null;null;null;null;
1967-11-04;null;null;null;null;null;null;null;null;
1967-11-05;null;null;null;null;null;null;null;null;
1967-11-06;null;null;null;null;null;null;null;null;
1967-11-07;null;null;null;null;null;null;null;null;
1967-11-08;null;null;null;null;null;null;null;null;
1967-11-09;null;null;null;null;null;null;null;null;
1967-11-10;null;null;null;null;null;null;null;null;
1967-11-11;null;null;null;null;null;null;null;null;
1967-11-12;null;null;null;null;null;null;null;null;
1967-11-13;null;null;null;null;null;null;null;null;
1967-11-14;null;null;null;null;null;null;null;null;
1967-11-15;null;null;null;null;null;null;null;null;
1967-11-16;null;null;null;null;null;null;null;null;
1967-11-17;null;null;null;null;null;null;null;null;
1967-11-18;null;null;null;null;null;null;null;null;
1967-11-19;null;null;null;null;null;null;null;null;
1967-11-20;null;null;null;null;null;null;null;null;
1967-11-21;null;null;null;null;null;null;null;null;
1967-11-22;null;null;null;null;null;null;null;null;
1967-11-23;null;null;null;null;null;null;null;null;
1967-11-24;null;null;null;null;null;null;null;null;
1967-11-25;null;null;null;null;null;null;null;null;
1967-11-26;null;null;null;null;null;null;null;null;
1967-11-27;null;null;null;null;null;null;null;null;
1967-11-28;null;null;null;null;null;null;null;null;
1967-11-29;null;null;null;null;null;null;null;null;
1967-11-30;null;null;null;null;null;null;null;null;
1967-12-01;null;null;null;null;null;null;null;null;
1967-12-02;null;null;null;null;null;null;null;null;
